Device,Device_ID
size010_length010,1
size010_length020,2
size010_length030,3
size010_length300,4
size015_length010,5
size015_length020,6
size015_length025,7
size015_length030,8
size015_length040,9
size020_length010,10
size020_length020,11
size020_length030,12
size020_length040,13
size020_length060,14
size020_length080,15
size025_length020,16
size025_length025,17
size025_length030,18
size025_length035,19
size025_length040,20
size025_length045,21
size025_length050,22
size025_length060,23
size025_length080,24
size030_length040,25
size030_length050,26
size030_length054,27
size030_length060,28
size030_length070,29
size030_length080,30
size030_length090,31
size030_length100,32
size030_length120,33
size035_length040,34
size035_length050,35
size035_length054,36
size035_length060,37
size035_length066,38
size035_length075,39
size035_length080,40
size035_length090,41
size035_length100,42
size035_length120,43
size040_length030,44
size040_length040,45
size040_length060,46
size040_length070,47
size040_length075,48
size040_length080,49
size040_length100,50
size040_length115,51
size040_length120,52
size040_length150,53
size045_length100,54
size045_length120,55
size050_length060,56
size050_length080,57
size050_length090,58
size050_length097,59
size050_length100,60
size050_length120,61
size050_length150,62
size050_length170,63
size050_length200,64
size060_length080,65
size060_length090,66
size060_length100,67
size060_length110,68
size060_length119,69
size060_length120,70
size060_length150,71
size060_length190,72
size060_length200,73
size060_length260,74
size070_length130,75
size070_length139,76
size070_length143,77
size070_length150,78
size070_length170,79
size070_length180,80
size070_length200,81
size070_length210,82
size070_length230,83
size070_length250,84
size070_length280,85
size070_length300,86
size070_length330,87
size080_length136,88
size080_length150,89
size080_length170,90
size080_length200,91
size080_length240,92
size080_length250,93
size080_length270,94
size080_length290,95
size080_length300,96
size080_length350,97
size090_length150,98
size090_length200,99
size090_length210,100
size090_length220,101
size090_length230,102
size090_length250,103
size090_length300,104
size090_length310,105
size090_length330,106
size100_length250,107
size100_length260,108
size100_length300,109
size100_length360,110
size100_length400,111
size110_length270,112
size120_length300,113
size120_length350,114
size120_length400,115
size120_length430,116
size120_length450,117
size130_length300,118
size140_length300,119
size140_length470,120
size140_length500,121
size150_length400,122
size150_length500,123
size160_length150,124
size160_length200,125
size160_length300,126
size160_length400,127
size160_length470,128
size160_length600,129
size170_length500,130
size180_length300,131
size180_length400,132
size180_length460,133
size180_length570,134
size190_length500,135
size200_length500,136
size200_length600,137
size250_length500,138
