csv_name,kind,kind_describe,Size,Length,describe,attention,discussion,
Atlas,Neuroform Atlas Stent System,EZAS3015,3,15,,,,
Atlas,Neuroform Atlas Stent System,EZAS3021,3,21,,,,
Atlas,Neuroform Atlas Stent System,EZAS4021,4,21,,,,
Atlas,Neuroform Atlas Stent System,EZAS4521,4.5,21,,,,
Atlas,Neuroform Atlas Stent System,EZAS4530,4.5,30,,,,
Axium,PRIME Frame,,3,6,0.0115”,コイル外形inch,,
Axium,PRIME Frame,,3,8,0.0115”,コイル外形inch,,
Axium,PRIME Frame,,3.5,6,0.0115”,コイル外形inch,,
Axium,PRIME Frame,,3.5,8,0.0115”,コイル外形inch,,
Axium,PRIME Frame,,4,8,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,4,12,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,4,15,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,5,10,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,5,15,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,5,20,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,6,15,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,6,20,0.0125”,コイル外形inch,,
Axium,PRIME Frame,,7,20,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,7,30,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,8,30,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,9,30,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,10,30,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,10,40,0.0135”,コイル外形inch,,
Axium,PRIME Frame,,12,40,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,12,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,14,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,16,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,18,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,20,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,22,50,0.0145”,コイル外形inch,,
Axium,PRIME Frame,,25,50,0.0145”,コイル外形inch,,
Axium,PRIME 3D,,1,2,"0.0108""",,,
Axium,PRIME 3D,,1,3,"0.0108""",,,
Axium,PRIME 3D,,1,4,"0.0108""",,,
Axium,PRIME 3D,,1.5,2,"0.0108""",,,
Axium,PRIME 3D,,1.5,3,"0.0108""",,,
Axium,PRIME 3D,,1.5,4,"0.0108""",,,
Axium,PRIME 3D,,2,2,"0.0108""",,,
Axium,PRIME 3D,,2,3,"0.0108""",,,
Axium,PRIME 3D,,2,4,"0.0108""",,,
Axium,PRIME 3D,,2.5,4,"0.0108""",,,
Axium,PRIME 3D,,2.5,6,"0.0108""",,,
Axium,PRIME 3D,,3,4,"0.0108""",,,
Axium,PRIME 3D,,3,6,"0.0108""",,,
Axium,PRIME 3D,,3,8,"0.0108""",,,
Axium,PRIME 3D,,3.5,6,"0.0108""",,,
Axium,PRIME 3D,,3.5,8,"0.0108""",,,
Axium,PRIME 3D,,3.5,10,"0.0108""",,,
Axium,PRIME 3D,,4,6,"0.0115""",,,
Axium,PRIME 3D,,4,8,"0.0115""",,,
Axium,PRIME 3D,,4,10,"0.0115""",,,
Axium,PRIME 3D,,4,12,"0.0115""",,,
Axium,PRIME 3D,,5,8,"0.0115""",,,
Axium,PRIME 3D,,5,10,"0.0115""",,,
Axium,PRIME 3D,,5,15,"0.0115""",,,
Axium,PRIME 3D,,6,10,"0.0115""",,,
Axium,PRIME 3D,,6,15,"0.0115""",,,
Axium,PRIME 3D,,6,20,"0.0115""",,,
Axium,PRIME Helix,,1,1,"0.0108""",,,
Axium,PRIME Helix,,1,2,"0.0108""",,,
Axium,PRIME Helix,,1,3,"0.0108""",,,
Axium,PRIME Helix,,1.5,2,"0.0108""",,,
Axium,PRIME Helix,,1.5,3,"0.0108""",,,
Axium,PRIME Helix,,1.5,4,"0.0108""",,,
Axium,PRIME Helix,,2,2,"0.0108""",,,
Axium,PRIME Helix,,2,3,"0.0108""",,,
Axium,PRIME Helix,,2,4,"0.0108""",,,
Axium,PRIME Helix,,2,6,"0.0108""",,,
Axium,PRIME Helix,,2,8,"0.0108""",,,
Axium,PRIME Helix,,2.5,3,"0.0108""",,,
Axium,PRIME Helix,,2.5,4,"0.0108""",,,
Axium,PRIME Helix,,2.5,6,"0.0108""",,,
Axium,PRIME Helix,,2.5,8,"0.0108""",,,
Axium,PRIME Helix,,3,4,"0.0108""",,,
Axium,PRIME Helix,,3,6,"0.0108""",,,
Axium,PRIME Helix,,3,8,"0.0108""",,,
Axium,PRIME Helix,,3,10,"0.0108""",,,
Axium,PRIME Helix,,4,8,"0.0115""",,,
Axium,PRIME Helix,,4,12,"0.0115""",,,
Axium,PRIME Helix,,5,15,"0.0115""",,,
Axium,PRIME Helix,,5,20,"0.0115""",,,
Axium,PRIME Helix,,6,20,"0.0115""",,,
Axium,Axium 3D,,4,8,0.0125”,,,
Axium,Axium 3D,,4,12,0.0125”,,,
Axium,Axium 3D,,5,10,0.0125”,,,
Axium,Axium 3D,,5,15,0.0125”,,,
Axium,Axium 3D,,6,15,0.0125”,,,
Axium,Axium 3D,,6,20,0.0125”,,,
Axium,Axium 3D,,7,20,0.0135”,,,
Axium,Axium 3D,,7,30,0.0135”,,,
Axium,Axium 3D,,8,20,0.0135”,,,
Axium,Axium 3D,,8,30,0.0135”,,,
Axium,Axium 3D,,9,30,0.0135”,,,
Axium,Axium 3D,,10,30,0.0145”,,,
Axium,Axium 3D,,12,40,0.0145”,,,
Axium,Axium 3D,,14,40,0.0145”,,,
Axium,Axium 3D,,16,40,0.0145”,,,
Axium,Axium 3D,,18,40,0.0145”,,,
Axium,Axium 3D,,20,50,0.0145”,,,
Axium,Axium 3D,,22,50,0.0145”,,,
Axium,Axium 3D,,25,50,0.0145”,,,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,2.5,39,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,2.5,30,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,2.5,23,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,2.5,16,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,3,39,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,3,30,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,3,23,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,3,16,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,4,39,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,4,30,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,4,23,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,4,16,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,5,39,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,5,30,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,5,23,?,,デリバリー時等あるがどれを使うべきか,
ENTERPRISE 2,CODMAN ENTERPRISE 2 Device,,5,16,?,,デリバリー時等あるがどれを使うべきか,
Galaxcy G3,GALAXY G3,,3,8,0.012,,,
Galaxcy G3,GALAXY G3,,3.5,7.5,0.012,,,
Galaxcy G3,GALAXY G3,,3.5,9,0.012,,,
Galaxcy G3,GALAXY G3,,4,10,0.012,,,
Galaxcy G3,GALAXY G3,,4,12,0.012,,,
Galaxcy G3,GALAXY G3,,5,10,0.012,,,
Galaxcy G3,GALAXY G3,,5,15,0.012,,,
Galaxcy G3,GALAXY G3,,6,15,0.012,,,
Galaxcy G3,GALAXY G3,,6,20,0.012,,,
Galaxcy G3,GALAXY G3,,7,21,0.012,,,
Galaxcy G3,GALAXY G3,,8,24,0.012,,,
Galaxcy G3,GALAXY G3,,9,25,0.012,,,
Galaxcy G3,GALAXY G3 XSFT,,2,2,0.012,,,
Galaxcy G3,GALAXY G3 XSFT,,2,8,0.012,Helical,,Helicalとは+※ に注意
Galaxcy G3,GALAXY G3 XSFT,,2.5,2.5,0.012,,,
Galaxcy G3,GALAXY G3 XSFT,,2.5,3.5,0.012,,,
